trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
160,False,"{'a': 0.9, 'e': 0.008480380159953269}",20,5,28.153501301649055,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.9, 'e': 0.00822974704902003}",20,11,13.152955594200403,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.9, 'e': 0.007986521265955502}",20,6,25.025622399826805,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.9, 'e': 0.007750483891136699}",20,4,28.23564048892147,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.9, 'e': 0.00752142247499327}",25,1,22.778839047457943,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.9, 'e': 0.007299130846788583}",20,10,21.879629833951757,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.9, 'e': 0.0070834089290521185}",20,0,36.87235934699574,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.9, 'e': 0.006874062557496255}",25,18,12.759115027046235,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.9, 'e': 0.0066709033062552735}",20,11,15.666232714093214,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.9, 'e': 0.006473748318289405}",20,8,22.087897242512277,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.9, 'e': 0.006282420140801123}",20,2,28.27393222543457,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.9, 'e': 0.006096746565515638}",35,0,56.76747256952196,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.9, 'e': 0.005916560473681857}",20,5,22.945308886776072,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.9, 'e': 0.005741699685654202}",25,13,24.02491057546247,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.9, 'e': 0.005572006814919998}",30,13,30.837015285098083,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.9, 'e': 0.00540732912644096}",30,8,36.93655041255772,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.9, 'e': 0.005247518399181385}",25,18,13.215554969569933,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.9, 'e': 0.005092430792699196}",25,19,9.531261146051625,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.9, 'e': 0.004941926717679822}",20,0,29.653980190369637,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.9, 'e': 0.004795870710296421}",30,16,24.660267608099165,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.9, 'e': 0.004654131310283272}",25,15,22.02888958527351,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.9, 'e': 0.00451658094261267}",20,10,17.386851846169346,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.9, 'e': 0.004383095802668776}",25,1,18.96678134852163,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
183,False,"{'a': 0.9, 'e': 0.004253555744815125}",25,8,31.53907109548655,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.9, 'e': 0.004127844174255436}",20,10,20.308473252639857,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.9, 'e': 0.00400584794209042}",20,16,7.178036682824989,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.9, 'e': 0.0038874572434761303}",30,0,45.99847519653107,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
187,False,"{'a': 0.9, 'e': 0.0037725655187922052}",25,16,18.33715346955596,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.9, 'e': 0.0036610693577310083}",25,0,33.409843634702234,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
189,False,"{'a': 0.9, 'e': 0.003552868406221362}",30,16,23.625382231607986,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.9, 'e': 0.0034478652761031265}",25,11,23.016843160919706,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.9, 'e': 0.003345965457471272}",25,2,35.55644121094998,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.9, 'e': 0.003247077233610589}",20,3,32.53888508142936,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.9, 'e': 0.0031511115984444414}",20,9,17.240973609947634,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.9, 'e': 0.0030579821764233073}",20,6,28.367151605771173,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.9, 'e': 0.0029676051447809467}",20,8,24.242290913536763,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.9, 'e': 0.002879899158088243}",30,5,43.609934432719704,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.9, 'e': 0.0027947852750368437}",25,4,34.7668736600976,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.9, 'e': 0.0027121868873866434}",30,23,12.636530936983359,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.9, 'e': 0.0026320296510132005}",35,17,31.95777186266593,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.9, 'e': 0.0025542414189929983}",20,16,6.403007772727589,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.9, 'e': 0.0024787521766663585}",20,11,16.868027651672318,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
